"Año";"Periodo";"Precio de la luz"
"2021";"Día 7 de agosto";"65,64"
"2021";"Día 8 de agosto";"85,29"
"2021";"Día 9 de agosto";"106,74"
"2021";"Día 10 de agosto";"111,88"
"2021";"Día 11 de agosto";"113,99"
"2021";"Día 12 de agosto";"115,83"
"2021";"Día 13 de agosto";"117,29"
"2021";"Día 14 de agosto";"114,63"
"2021";"Día 15 de agosto";"110,02"
"2021";"Día 16 de agosto";"88,92"
"2021";"Día 17 de agosto";"89,5"
"2021";"Día 18 de agosto";"105,4"
"2021";"Día 19 de agosto";"113,4"
"2021";"Día 20 de agosto";"117,14"
"2021";"Día 21 de agosto";"110,14"
"2021";"Día 22 de agosto";"100,51"
"2021";"Día 23 de agosto";"99,76"
"2021";"Día 24 de agosto";"102,06"
"2021";"Día 25 de agosto";"116,73"
"2021";"Día 26 de agosto";"122,76"
"2021";"Día 27 de agosto";"118,99"
"2021";"Día 28 de agosto";"110,22"
"2021";"Día 29 de agosto";"102,03"
"2021";"Día 30 de agosto";"124,45"
"2021";"Día 31 de agosto";"130,53"
"2021";"Día 1 de septiembre";"132,47"
"2021";"Día 2 de septiembre";"140,23"
"2021";"Día 3 de septiembre";"137,7"
"2021";"Día 4 de septiembre";"134,89"
"2021";"Día 5 de septiembre";"128,7"
"2021";"Día 6 de septiembre";"132,65"
"2021";"Día 7 de septiembre";"127,36"
"2021";"Día 8 de septiembre";"135,65"
"2021";"Día 9 de septiembre";"141,71"
"2021";"Día 10 de septiembre";"152,32"
"2021";"Día 11 de septiembre";"150,78"
"2021";"Día 12 de septiembre";"144,18"
"2021";"Día 13 de septiembre";"154,16"
"2021";"Día 14 de septiembre";"153,43"
"2021";"Día 15 de septiembre";"172,78"
"2021";"Día 16 de septiembre";"188,18"
"2021";"Día 17 de septiembre";"166,29"
"2021";"Día 18 de septiembre";"159,37"
"2021";"Día 19 de septiembre";"146,57"
"2021";"Día 20 de septiembre";"156,75"
"2021";"Día 21 de septiembre";"150,26"
"2021";"Día 22 de septiembre";"175,87"
"2021";"Día 23 de septiembre";"165,19"
"2021";"Día 24 de septiembre";"172,97"
"2021";"Día 25 de septiembre";"166,36"
"2021";"Día 26 de septiembre";"160,42"
"2021";"Día 27 de septiembre";"174,68"
"2021";"Día 28 de septiembre";"182,71"
"2021";"Día 29 de septiembre";"189,9"
"2021";"Día 30 de septiembre";"189,83"
"2021";"Día 1 de octubre";"216,01"
"2021";"Día 2 de octubre";"173,65"
"2021";"Día 3 de octubre";"111,6"
"2021";"Día 4 de octubre";"186,46"
"2021";"Día 5 de octubre";"203,68"
"2021";"Día 6 de octubre";"228,59"
"2021";"Día 7 de octubre";"288,53"
"2021";"Día 8 de octubre";"229,2"
"2021";"Día 9 de octubre";"226,21"
"2021";"Día 10 de octubre";"175,91"
"2021";"Día 11 de octubre";"184,48"
"2021";"Día 12 de octubre";"184,74"
"2021";"Día 13 de octubre";"185,74"
"2021";"Día 14 de octubre";"215,63"
"2021";"Día 15 de octubre";"231,82"
"2021";"Día 16 de octubre";"226,93"
"2021";"Día 17 de octubre";"209,63"
"2021";"Día 18 de octubre";"227,45"
"2021";"Día 19 de octubre";"207,14"
"2021";"Día 20 de octubre";"201,4"
